"GymName","Address","Activities","Rating","Cleaned_Address","Region","lat","long","Barre","Boxing","Cycling","Dance","Gym.Time","Martial.Arts","Pilates","Strength.Training","Stretching","Yoga","Nearest_Bus_Stop","Nearest_MRT_Station","Distance_from_MRT_km","Distance_from_busstop_km"
"ChimpChamp Fitness","6 Raffles Blvd, Singapore","Strength Training, Martial Arts, …",4.9,"6 Raffles Blvd, Singapore","Downtown Core",1.2918103,103.8567423,0,0,0,0,0,1,0,1,0,0,"Opp War Memorial Pk","Esplanade MRT",0.214543401668413,0.15066054983102
"Line Pilates","442 Orchard Road, #03-03 Claymore Connect, Singapore","Pilates",4.8,"442 Orchard Road, Singapore","Orchard",1.3075324,103.8289836,0,0,0,0,0,0,1,0,0,0,"Delfi Orchard","Orchard MRT",0.535157010970705,0.0922059789122629
"WeBarre","5a Stanley St, Singapore","Barre, Strength Training",4.9,"5a Stanley St, Singapore","Downtown Core",1.2782093,103.8479086,1,0,0,0,0,0,0,1,0,0,"Aft Capital Twr","Tanjong Pagar MRT",0.294330372160567,0.0480366429905201
"CAVO","9 Yong Siak Street, Singapore","Strength Training",4.9,"9 Yong Siak Street, Singapore","Bukit Merah",1.28251755,103.830273807608,0,0,0,0,0,0,0,1,0,0,"Blk 126 CP","Tiong Bahru MRT",0.548357135938353,0.15204343353007
"STRONG Pilates","6 Handy Rd, #02-01, Singapore","Pilates, Strength Training",4.8,"6 Handy Rd, Singapore","Museum",1.3005491,103.8454701,0,0,0,0,0,0,1,1,0,0,"Dhoby Ghaut Stn","Dhoby Ghaut MRT",0.216778564338952,0.139873237329493
"Lab Studios","245A Holland Ave , Singapore","Barre, Pilates, …",4.8,"245A Holland Ave, Singapore","Bukit Timah",1.3117636,103.7960337,1,0,0,0,0,0,1,0,0,0,"Holland V Stn Exit A","Holland Village MRT",0.0227561627017147,0.0818742451454433
"J Platform","144 Robinson Road, #05-02Robinson Square, Singapore","Dance",4.9,"144 Robinson Road, Singapore","Downtown Core",1.2782635,103.848173226091,0,0,0,1,0,0,0,0,0,0,"Aft Capital Twr","Tanjong Pagar MRT",0.324297535864011,0.0499397646786605
"XYCO Studio","22 Martin Road, Singapore","Cycling",4.9,"22 Martin Road, Singapore","River Valley",1.2917408,103.8383251,0,0,1,0,0,0,0,0,0,0,"Aft Unity St","Fort Canning MRT",0.675903619435742,0.320030119169829
"The Flow Playground","12 A/B Sago Street, Singapore","Pilates, Stretching",4.8,"12  Sago Street, Singapore","Outram",1.28177935,103.8443991,0,0,0,0,0,0,1,0,1,0,"Maxwell Rd FC","Chinatown MRT",0.307009270165452,0.0816129253278197
"Ki Yoga","87A Serangoon Garden Way, Singapore","Yoga, Stretching, …",4.9,"87A Serangoon Garden Way, Singapore","Serangoon",1.3641186,103.8599764,0,0,0,0,0,0,0,0,1,1,"Opp Bloxhome Dr","Ang Mo Kio MRT",1.26249317135555,0.11554035121519
"SG Pilates","190 Clemenceau Ave, #05-03, Singapore","Pilates",4.7,"190 Clemenceau Ave, Singapore","Museum",1.2981147,103.844111198873,0,0,0,0,0,0,1,0,0,0,"Opp Haw Par Glass Twr","Dhoby Ghaut MRT",0.233572559127422,0.128359958139553
"Ascend Fitness","1 Orchard Road, Singapore","Pilates, Cycling, …",4.8,"1 Orchard Road, Singapore","Museum",1.29763465,103.848140069079,0,0,1,0,0,0,1,0,0,0,"YMCA","Dhoby Ghaut MRT",0.250767969754528,0.0620278330311273
"2 Be Yoga","2 BE YOGA, 127B Telok Ayer Street, Singapore","Yoga, Pilates, …",4.8,"127B Telok Ayer Street, Singapore","Outram",1.2798249,103.8472008,0,0,0,0,0,0,1,0,0,1,"Opp GB Bldg","Telok Ayer MRT",0.300552570379921,0.118525232557611
"SG Pilates","520 North Bridge Road, Singapore","Pilates",4.8,"520 North Bridge Road, Singapore","Kallang",1.304197,103.86081,0,0,0,0,0,0,1,0,0,0,"Opp Textile Ctr","Lavender MRT",0.418023204692792,0.110059980778452
"Lab Studios","232G Upper Thomson Rd, 232A, Singapore","Barre, Pilates, …",4.8,"232G Upper Thomson Rd, Singapore","Ang Mo Kio",1.371054,103.8285777,1,0,0,0,0,0,1,0,0,0,"Opp S'wang Hill FC","Mayflower MRT",0.922412477389042,0.154175448943787
"Division Athletics","78 Shenton Way#B1-01, Singapore","Strength Training",4.9,"78 Shenton Way, Singapore","Downtown Core",1.273047,103.844899252657,0,0,0,0,0,0,0,1,0,0,"Hub Synergy Pt","Tanjong Pagar MRT",0.401363009121274,0.103679558312854
